"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
383,17,503,35,2.8,0
384,17,101,35,3.9,0
384,17,102,35,5.6,0
384,17,103,35,4.7,0
384,17,104,35,3.8,0
384,17,105,35,7.6,0
384,17,106,35,7.0,0
384,17,107,35,7.9,0
384,17,108,35,7.6,0
384,17,109,35,6.7,0
384,17,110,35,6.5,0
384,17,111,35,5.6,0
384,17,112,35,8.1,0
384,17,201,35,4.7,0
384,17,202,35,4.2,0
384,17,203,35,6.4,0
384,17,204,35,7.2,0
384,17,205,35,10.2,0
384,17,206,35,6.9,0
384,17,207,35,8.4,0
384,17,208,35,4.0,0
384,17,209,35,4.1,0
384,17,210,35,3.1,0
384,17,211,35,4.7,0
384,17,212,35,4.2,0
384,17,301,35,4.2,0
384,17,302,35,3.8,0
384,17,303,35,4.9,0
384,17,304,35,4.3,0
384,17,305,35,3.4,0
384,17,306,35,3.1,0
384,17,307,35,3.3,0
384,17,308,35,4.8,0
384,17,309,35,5.2,0
384,17,310,35,3.6,0
384,17,311,35,3.9,0
384,17,312,35,4.7,0
384,17,313,35,3.3,0
384,17,314,35,4.9,0
384,17,315,35,3.3,0
384,17,316,35,4.4,0
384,17,317,35,4.3,0
384,17,318,35,3.1,0
384,17,401,35,4.0,0
384,17,402,35,4.2,0
384,17,403,35,3.8,0
384,17,404,35,4.5,0
384,17,405,35,3.6,0
384,17,406,35,3.8,0
384,17,407,35,3.3,0
384,17,408,35,3.5,0
384,17,409,35,4.1,0
384,17,410,35,3.2,0
384,17,411,35,3.3,0
384,17,412,35,3.5,0
384,17,413,35,3.1,0
384,17,414,35,3.1,0
384,17,501,35,2.7,0
384,17,502,35,2.4,0
384,17,503,35,2.3,0
385,17,101,35,5.5,0
385,17,102,35,10.4,0
385,17,103,35,8.6,0
385,17,104,35,8.9,0
385,17,105,35,11.7,0
385,17,106,35,10.3,0
385,17,107,35,10.9,0
385,17,108,35,13.6,0
385,17,109,35,9.2,0
385,17,110,35,8.7,0
385,17,111,35,9.0,0
385,17,112,35,12.3,0
385,17,201,35,6.5,0
385,17,202,35,6.5,0
385,17,203,35,8.2,0
385,17,204,35,10.6,0
385,17,205,35,13.5,0
385,17,206,35,11.1,0
385,17,207,35,13.1,0
385,17,208,35,8.3,0
385,17,209,35,7.1,0
385,17,210,35,4.6,0
385,17,211,35,9.0,0
385,17,212,35,6.7,0
385,17,301,35,5.5,0
385,17,302,35,4.8,0
385,17,303,35,5.2,0
385,17,304,35,5.8,0
385,17,305,35,4.4,0
385,17,306,35,4.6,0
385,17,307,35,5.3,0
385,17,308,35,5.6,0
385,17,309,35,6.1,0
385,17,310,35,4.9,0
385,17,311,35,5.1,0
385,17,312,35,6.0,0
385,17,313,35,4.1,0
385,17,314,35,7.0,0
385,17,315,35,4.6,0
385,17,316,35,5.3,0
385,17,317,35,6.4,0
385,17,318,35,4.3,0
385,17,401,35,6.7,0
385,17,402,35,7.0,0
385,17,403,35,7.2,0
385,17,404,35,7.2,0
385,17,405,35,5.1,0
385,17,406,35,6.5,0
385,17,407,35,4.8,0
385,17,408,35,4.9,0
385,17,409,35,4.9,0
385,17,410,35,4.2,0
385,17,411,35,4.0,0
385,17,412,35,4.3,0
385,17,413,35,3.6,0
385,17,414,35,4.1,0
385,17,501,35,3.7,0
385,17,502,35,3.2,0
385,17,503,35,3.1,0

