"indicator_id","geo_type_id","geo_entity_id","year_id","data_value","unreliability_flag"
368,17,313,36,10.6,0
368,17,314,36,10.7,0
368,17,315,36,10.4,0
368,17,316,36,11.3,0
368,17,317,36,10.9,0
368,17,318,36,10.2,0
368,17,401,36,10.9,0
368,17,402,36,11.5,0
368,17,403,36,11.1,0
368,17,404,36,11.1,0
368,17,405,36,10.7,0
368,17,406,36,10.4,0
368,17,407,36,10.2,0
368,17,408,36,10.0,0
368,17,409,36,10.5,0
368,17,410,36,10.3,0
368,17,411,36,10.0,0
368,17,412,36,10.4,0
368,17,413,36,10.1,0
368,17,414,36,10.1,0
368,17,501,36,10.4,0
368,17,502,36,9.7,0
368,17,503,36,9.9,0
369,17,101,36,14.6,0
369,17,102,36,14.3,0
369,17,103,36,13.6,0
369,17,104,36,14.9,0
369,17,105,36,16.3,0
369,17,106,36,15.3,0
369,17,107,36,12.7,0
369,17,108,36,13.5,0
369,17,109,36,12.0,0
369,17,110,36,12.4,0
369,17,111,36,12.7,0
369,17,112,36,12.9,0
369,17,201,36,12.6,0
369,17,202,36,12.8,0
369,17,203,36,12.2,0
369,17,204,36,12.6,0
369,17,205,36,12.5,0
369,17,206,36,12.1,0
369,17,207,36,12.0,0
369,17,208,36,11.6,0
369,17,209,36,12.6,0
369,17,210,36,12.0,0
369,17,211,36,11.4,0
369,17,212,36,11.1,0
369,17,301,36,12.8,0
369,17,302,36,12.7,0
369,17,303,36,11.9,0
369,17,304,36,11.6,0
369,17,305,36,11.5,0
369,17,306,36,12.1,0
369,17,307,36,12.2,0
369,17,308,36,11.5,0
369,17,309,36,11.6,0
369,17,310,36,11.7,0
369,17,311,36,11.3,0
369,17,312,36,11.4,0
369,17,313,36,11.1,0
369,17,314,36,11.5,0
369,17,315,36,11.1,0
369,17,316,36,11.7,0
369,17,317,36,11.8,0
369,17,318,36,11.3,0
369,17,401,36,11.8,0
369,17,402,36,12.7,0
369,17,403,36,11.7,0
369,17,404,36,11.7,0
369,17,405,36,11.8,0
369,17,406,36,11.5,0
369,17,407,36,11.6,0
369,17,408,36,11.0,0
369,17,409,36,11.1,0
369,17,410,36,11.3,0
369,17,411,36,10.8,0
369,17,412,36,11.2,0
369,17,413,36,10.9,0
369,17,414,36,10.7,0
369,17,501,36,11.5,0
369,17,502,36,11.2,0
369,17,503,36,10.9,0
370,17,101,36,1.8,0
370,17,102,36,1.8,0
370,17,103,36,1.5,0
370,17,104,36,1.8,0
370,17,105,36,2.0,0
370,17,106,36,1.7,0
370,17,107,36,1.4,0
370,17,108,36,1.5,0
370,17,109,36,1.3,0
370,17,110,36,1.4,0
370,17,111,36,1.5,0
370,17,112,36,1.5,0
370,17,201,36,1.6,0
370,17,202,36,1.7,0
370,17,203,36,1.5,0
370,17,204,36,1.6,0
370,17,205,36,1.6,0
370,17,206,36,1.4,0
370,17,207,36,1.2,0
370,17,208,36,1.0,0
370,17,209,36,1.5,0
370,17,210,36,1.2,0
370,17,211,36,1.2,0
370,17,212,36,1.1,0
370,17,301,36,1.5,0
370,17,302,36,1.4,0
370,17,303,36,1.2,0
370,17,304,36,1.2,0
370,17,305,36,1.1,0
370,17,306,36,1.2,0
370,17,307,36,1.2,0
370,17,308,36,1.1,0
370,17,309,36,1.1,0
370,17,310,36,1.1,0
370,17,311,36,1.0,0
370,17,312,36,1.1,0
370,17,313,36,1.0,0
370,17,314,36,1.0,0
370,17,315,36,0.9,0
370,17,316,36,1.2,0
370,17,317,36,1.1,0
370,17,318,36,1.0,0
370,17,401,36,1.2,0
370,17,402,36,1.5,0
370,17,403,36,1.2,0
370,17,404,36,1.2,0
370,17,405,36,1.2,0
370,17,406,36,1.1,0
370,17,407,36,1.1,0
370,17,408,36,1.0,0
370,17,409,36,1.0,0
370,17,410,36,1.1,0
370,17,411,36,1.0,0
370,17,412,36,1.1,0
370,17,413,36,1.0,0
370,17,414,36,0.9,0
370,17,501,36,1.1,0
370,17,502,36,0.9,0
